"Name","StartType","Status"
"AJRouter","Manual","Stopped"
"ALG","Manual","Stopped"
"AppIDSvc","Manual","Stopped"
"Appinfo","Manual","Stopped"
"AppMgmt","Manual","Stopped"
"AppReadiness","Manual","Stopped"
"AppVClient","Disabled","Stopped"
"AppXSvc","Manual","Stopped"
"AudioEndpointBuilder","Manual","Running"
"Audiosrv","Manual","Running"
"AxInstSV","Disabled","Stopped"
"BFE","Automatic","Running"
"BITS","Manual","Stopped"
"BrokerInfrastructure","Automatic","Running"
"bthserv","Manual","Stopped"
"camsvc","Manual","Running"
"CaptureService_75a2e","Manual","Stopped"
"cbdhsvc_75a2e","Automatic","Running"
"CCleanerPerformanceOptimizerService","Manual","Stopped"
"CDPSvc","Automatic","Running"
"CDPUserSvc_75a2e","Automatic","Running"
"CertPropSvc","Manual","Stopped"
"ClipSVC","Manual","Stopped"
"COMSysApp","Manual","Stopped"
"ConsentUxUserSvc_75a2e","Manual","Stopped"
"CoreMessagingRegistrar","Automatic","Running"
"CredentialEnrollmentManagerUserSvc_75a2e","Manual","Stopped"
"CryptSvc","Automatic","Running"
"CscService","Disabled","Stopped"
"DcomLaunch","Automatic","Running"
"dcsvc","Manual","Stopped"
"defragsvc","Manual","Stopped"
"DeviceAssociationBrokerSvc_75a2e","Manual","Stopped"
"DeviceAssociationService","Manual","Stopped"
"DeviceInstall","Manual","Stopped"
"DevicePickerUserSvc_75a2e","Disabled","Stopped"
"DevicesFlowUserSvc_75a2e","Manual","Stopped"
"DevQueryBroker","Manual","Stopped"
"Dhcp","Automatic","Running"
"diagnosticshub.standardcollector.service","Manual","Stopped"
"DiagTrack","Automatic","Running"
"DispBrokerDesktopSvc","Automatic","Running"
"DmEnrollmentSvc","Manual","Stopped"
"dmwappushservice","Disabled","Stopped"
"Dnscache","Automatic","Running"
"DoSvc","Manual","Stopped"
"dot3svc","Manual","Stopped"
"DPS","Automatic","Running"
"DsmSvc","Manual","Stopped"
"DsSvc","Manual","Stopped"
"EapHost","Manual","Stopped"
"edgeupdate","Automatic","Stopped"
"edgeupdatem","Manual","Stopped"
"EFS","Manual","Stopped"
"embeddedmode","Manual","Stopped"
"EntAppSvc","Manual","Stopped"
"EPIntegrationService","Automatic","Running"
"EPProtectedService","Automatic","Running"
"EPRedline","Automatic","Running"
"EPSecurityService","Automatic","Running"
"EPUpdateService","Automatic","Running"
"EventLog","Automatic","Running"
"EventSystem","Automatic","Running"
"fdPHost","Manual","Stopped"
"FDResPub","Manual","Stopped"
"FontCache","Automatic","Running"
"FrameServer","Manual","Stopped"
"FrameServerMonitor","Manual","Stopped"
"FvSvc","Manual","Stopped"
"GoogleChromeElevationService","Manual","Stopped"
"GoogleUpdaterInternalService140.0.7272.0","Automatic","Stopped"
"GoogleUpdaterService140.0.7272.0","Automatic","Stopped"
"gpsvc","Automatic","Running"
"GraphicsPerfSvc","Disabled","Stopped"
"GUBootService","Automatic","Running"
"GUMemfilesService","Automatic","Running"
"GUPMService","Manual","Stopped"
"hidserv","Manual","Running"
"HvHost","Manual","Running"
"IKEEXT","Manual","Stopped"
"InstallService","Manual","Stopped"
"ipfsvc","Automatic","Running"
"iphlpsvc","Automatic","Running"
"jhi_service","Automatic","Running"
"KeyIso","Manual","Running"
"KPSSVC","Manual","Stopped"
"KtmRm","Manual","Stopped"
"LanmanServer","Automatic","Running"
"LanmanWorkstation","Automatic","Running"
"lfsvc","Disabled","Stopped"
"LicenseManager","Manual","Stopped"
"lltdsvc","Disabled","Stopped"
"lmhosts","Manual","Running"
"LSM","Automatic","Running"
"MapsBroker","Disabled","Stopped"
"McpManagementService","Manual","Stopped"
"MicrosoftEdgeElevationService","Manual","Stopped"
"mpssvc","Automatic","Running"
"MSDTC","Automatic","Running"
"MSiSCSI","Manual","Stopped"
"msiserver","Manual","Stopped"
"NcaSvc","Manual","Stopped"
"NcbService","Manual","Running"
"Netlogon","Manual","Stopped"
"Netman","Manual","Stopped"
"netprofm","Manual","Running"
"NetSetupSvc","Manual","Running"
"NgcCtnrSvc","Manual","Stopped"
"NgcSvc","Manual","Stopped"
"NlaSvc","Automatic","Running"
"nsi","Automatic","Running"
"NvContainerLocalSystem","Automatic","Running"
"NVDisplay.ContainerLocalSystem","Automatic","Running"
"PcaSvc","Automatic","Running"
"PerfHost","Manual","Stopped"
"PimIndexMaintenanceSvc_75a2e","Manual","Stopped"
"pla","Manual","Stopped"
"PlugPlay","Manual","Running"
"PolicyAgent","Manual","Stopped"
"Power","Automatic","Running"
"PrintNotify","Manual","Stopped"
"PrintWorkflowUserSvc_75a2e","Manual","Stopped"
"ProfSvc","Automatic","Running"
"PushToInstall","Disabled","Stopped"
"QWAVE","Manual","Stopped"
"RasAuto","Manual","Stopped"
"RasMan","Manual","Stopped"
"RemoteAccess","Disabled","Stopped"
"RemoteRegistry","Automatic","Stopped"
"RmSvc","Disabled","Stopped"
"RpcEptMapper","Automatic","Running"
"RpcLocator","Manual","Stopped"
"RpcSs","Automatic","Running"
"RSoPProv","Manual","Stopped"
"sacsvr","Manual","Stopped"
"SamSs","Automatic","Running"
"SCardSvr","Manual","Stopped"
"ScDeviceEnum","Disabled","Stopped"
"Schedule","Automatic","Running"
"SCPolicySvc","Manual","Stopped"
"seclogon","Manual","Stopped"
"SecurityHealthService","Manual","Stopped"
"SEMgrSvc","Disabled","Stopped"
"SENS","Automatic","Running"
"Sense","Manual","Stopped"
"SensorDataService","Disabled","Stopped"
"SensorService","Manual","Stopped"
"SensrSvc","Manual","Stopped"
"SessionEnv","Manual","Stopped"
"SharedAccess","Disabled","Stopped"
"ShellHWDetection","Automatic","Running"
"shpamsvc","Disabled","Stopped"
"smphost","Manual","Stopped"
"SNMPTRAP","Manual","Stopped"
"Spooler","Automatic","Running"
"sppsvc","Automatic","Stopped"
"SSDPSRV","Disabled","Stopped"
"SstpSvc","Manual","Running"
"StateRepository","Automatic","Running"
"Steam Client Service","Manual","Stopped"
"StiSvc","Manual","Stopped"
"StorSvc","Automatic","Running"
"svsvc","Manual","Stopped"
"swprv","Manual","Stopped"
"SysMain","Automatic","Running"
"SystemEventsBroker","Automatic","Running"
"TabletInputService","Manual","Running"
"tapisrv","Disabled","Stopped"
"TermService","Manual","Stopped"
"Themes","Automatic","Running"
"TieringEngineService","Manual","Stopped"
"TimeBrokerSvc","Manual","Running"
"TokenBroker","Manual","Running"
"TrkWks","Automatic","Running"
"TrustedInstaller","Manual","Stopped"
"tzautoupdate","Disabled","Stopped"
"UALSVC","Automatic","Running"
"UdkUserSvc_75a2e","Manual","Stopped"
"UevAgentService","Disabled","Stopped"
"UmRdpService","Manual","Stopped"
"UnistoreSvc_75a2e","Manual","Stopped"
"upnphost","Disabled","Stopped"
"UserDataSvc_75a2e","Manual","Stopped"
"UserManager","Automatic","Running"
"UsoSvc","Automatic","Running"
"VaultSvc","Manual","Stopped"
"VBoxSDS","Manual","Stopped"
"vds","Manual","Stopped"
"vmicguestinterface","Manual","Stopped"
"vmicheartbeat","Manual","Stopped"
"vmickvpexchange","Manual","Stopped"
"vmicshutdown","Manual","Stopped"
"vmictimesync","Manual","Stopped"
"vmicvmsession","Manual","Stopped"
"vmicvss","Manual","Stopped"
"VSS","Manual","Stopped"
"W32Time","Automatic","Running"
"WaaSMedicSvc","Manual","Stopped"
"WalletService","Disabled","Stopped"
"WarpJITSvc","Manual","Stopped"
"WbioSrvc","Manual","Stopped"
"Wcmsvc","Automatic","Running"
"wcncsvc","Manual","Stopped"
"WdiServiceHost","Manual","Stopped"
"WdiSystemHost","Manual","Running"
"WdNisSvc","Manual","Stopped"
"Wecsvc","Manual","Stopped"
"WEPHOSTSVC","Manual","Stopped"
"wercplsupport","Manual","Stopped"
"WerSvc","Manual","Stopped"
"WiaRpc","Manual","Stopped"
"WinDefend","Automatic","Running"
"WinHttpAutoProxySvc","Manual","Running"
"Winmgmt","Automatic","Running"
"WinRM","Disabled","Stopped"
"wisvc","Disabled","Stopped"
"WlanSvc","Automatic","Running"
"wlidsvc","Manual","Stopped"
"wmiApSrv","Manual","Stopped"
"WMIRegistrationService","Automatic","Running"
"WMPNetworkSvc","Manual","Stopped"
"WPDBusEnum","Manual","Stopped"
"WpnService","Automatic","Running"
"WpnUserService_75a2e","Automatic","Running"
"WSearch","Disabled","Stopped"
"wuauserv","Manual","Running"
